Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 123.0.0.0,,,26-03-2024 09:01:08,26-03-2024 09:01:56,47.876s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:09,26-03-2024 09:01:18,9.647s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:09,26-03-2024 09:01:12,2.573s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:12,26-03-2024 09:01:13,1.507s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:13,26-03-2024 09:01:18,4.977s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:18,26-03-2024 09:01:18,0.201s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:18,26-03-2024 09:01:27,8.625s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:18,26-03-2024 09:01:20,1.698s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:20,26-03-2024 09:01:22,1.792s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:22,26-03-2024 09:01:26,4.078s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:26,26-03-2024 09:01:26,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:01:26,26-03-2024 09:01:27,0.382s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:01:27,26-03-2024 09:01:27,0.217s,PASSED
acceptAlert(),Chrome 123.0.0.0,,,26-03-2024 09:01:27,26-03-2024 09:01:27,0.028s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:27,26-03-2024 09:01:34,6.771s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:27,26-03-2024 09:01:28,1.358s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:28,26-03-2024 09:01:30,1.299s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:30,26-03-2024 09:01:33,3.095s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:33,26-03-2024 09:01:33,0.365s,PASSED
