Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:01:33,26-03-2024 09:01:34,0.349s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:01:34,26-03-2024 09:01:34,0.223s,PASSED
acceptAlert(),Chrome 123.0.0.0,,,26-03-2024 09:01:34,26-03-2024 09:01:34,0.011s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:34,26-03-2024 09:01:40,5.894s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:34,26-03-2024 09:01:35,1.329s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:35,26-03-2024 09:01:37,1.454s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:37,26-03-2024 09:01:40,2.961s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:40,26-03-2024 09:01:40,0.125s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:40,26-03-2024 09:01:47,7.659s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:40,26-03-2024 09:01:41,1.537s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:41,26-03-2024 09:01:43,1.724s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:43,26-03-2024 09:01:46,3.410s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:46,26-03-2024 09:01:47,0.374s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:01:47,26-03-2024 09:01:47,0.361s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:01:47,26-03-2024 09:01:47,0.221s,PASSED
acceptAlert(),Chrome 123.0.0.0,,,26-03-2024 09:01:47,26-03-2024 09:01:47,0.008s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:01:47,26-03-2024 09:01:56,8.891s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:01:47,26-03-2024 09:01:49,1.378s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:01:49,26-03-2024 09:01:50,1.349s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:01:50,26-03-2024 09:01:56,6.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:01:56,26-03-2024 09:01:56,0.124s,FAILED
