Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 123.0.0.0,,,26-03-2024 09:08:24,26-03-2024 09:09:28,1m - 3.964s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:24,26-03-2024 09:08:36,11.741s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:25,26-03-2024 09:08:27,2.606s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:27,26-03-2024 09:08:29,1.250s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:29,26-03-2024 09:08:32,2.963s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:08:32,26-03-2024 09:08:32,0.721s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:08:32,26-03-2024 09:08:33,0.398s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:08:33,26-03-2024 09:08:36,3.121s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:08:36,26-03-2024 09:08:36,0.248s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:36,26-03-2024 09:08:46,10.058s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:36,26-03-2024 09:08:38,1.615s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:38,26-03-2024 09:08:39,1.179s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:39,26-03-2024 09:08:42,2.832s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:08:42,26-03-2024 09:08:43,0.699s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:08:43,26-03-2024 09:08:43,0.368s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:08:43,26-03-2024 09:08:46,3.098s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:08:46,26-03-2024 09:08:46,0.220s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:46,26-03-2024 09:08:56,9.880s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:46,26-03-2024 09:08:48,1.387s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:48,26-03-2024 09:08:49,1.246s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:49,26-03-2024 09:08:52,2.889s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:08:52,26-03-2024 09:08:53,0.669s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:08:53,26-03-2024 09:08:53,0.362s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:08:53,26-03-2024 09:08:56,3.084s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:08:56,26-03-2024 09:08:56,0.190s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:56,26-03-2024 09:09:07,10.436s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:56,26-03-2024 09:08:58,1.436s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:58,26-03-2024 09:08:59,1.609s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:59,26-03-2024 09:09:02,2.917s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:09:02,26-03-2024 09:09:03,0.727s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:09:03,26-03-2024 09:09:03,0.372s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:09:03,26-03-2024 09:09:06,3.084s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:09:06,26-03-2024 09:09:07,0.265s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:09:07,26-03-2024 09:09:17,10.359s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:09:07,26-03-2024 09:09:08,1.461s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:09:08,26-03-2024 09:09:10,1.429s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:09:10,26-03-2024 09:09:13,3.096s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:09:13,26-03-2024 09:09:13,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:09:13,26-03-2024 09:09:14,0.356s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:09:14,26-03-2024 09:09:17,3.097s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:09:17,26-03-2024 09:09:17,0.204s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:09:17,26-03-2024 09:09:28,11.010s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:09:17,26-03-2024 09:09:19,1.403s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:09:19,26-03-2024 09:09:21,2.045s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:09:21,26-03-2024 09:09:24,3.013s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:09:24,26-03-2024 09:09:24,0.765s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:09:24,26-03-2024 09:09:25,0.420s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:09:25,26-03-2024 09:09:28,3.092s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:09:28,26-03-2024 09:09:28,0.252s,PASSED
