Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 123.0.0.0,,,26-03-2024 09:08:17,26-03-2024 09:09:22,1m - 5.717s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:17,26-03-2024 09:08:30,13.440s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:17,26-03-2024 09:08:20,2.659s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:20,26-03-2024 09:08:21,1.553s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:21,26-03-2024 09:08:26,4.296s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:08:26,26-03-2024 09:08:27,0.768s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:08:27,26-03-2024 09:08:27,0.466s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:08:27,26-03-2024 09:08:30,3.137s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:08:30,26-03-2024 09:08:30,0.234s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:30,26-03-2024 09:08:41,10.161s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:30,26-03-2024 09:08:32,1.446s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:32,26-03-2024 09:08:33,1.157s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:33,26-03-2024 09:08:36,2.910s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:08:36,26-03-2024 09:08:37,0.749s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:08:37,26-03-2024 09:08:37,0.540s,PASSED
waitForAlert(3),Chrome 123.0.0.0,,,26-03-2024 09:08:37,26-03-2024 09:08:40,3.107s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 09:08:40,26-03-2024 09:08:41,0.206s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:08:41,26-03-2024 09:08:51,10.006s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:08:41,26-03-2024 09:08:42,1.436s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:08:42,26-03-2024 09:08:43,1.143s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:08:43,26-03-2024 09:08:46,2.853s,PASSED
