Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:06:53,26-03-2024 09:06:55,1.819s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:06:55,26-03-2024 09:06:58,3.076s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:06:58,26-03-2024 09:06:59,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:06:59,26-03-2024 09:06:59,0.343s,PASSED
acceptAlert(),Chrome 123.0.0.0,,,26-03-2024 09:06:59,26-03-2024 09:06:59,0.190s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 09:06:59,26-03-2024 09:07:06,7.242s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 09:06:59,26-03-2024 09:07:01,1.514s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 09:07:01,26-03-2024 09:07:02,1.480s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 09:07:02,26-03-2024 09:07:05,2.875s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 09:07:05,26-03-2024 09:07:06,0.661s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 09:07:06,26-03-2024 09:07:06,0.389s,PASSED
acceptAlert(),Chrome 123.0.0.0,,,26-03-2024 09:07:06,26-03-2024 09:07:06,0.303s,FAILED
