Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 123.0.0.0,,,26-03-2024 08:59:23,26-03-2024 09:00:30,1m - 6.579s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 08:59:24,26-03-2024 08:59:40,15.995s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 08:59:24,26-03-2024 08:59:28,4.289s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 08:59:28,26-03-2024 08:59:34,5.474s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 08:59:34,26-03-2024 08:59:39,5.333s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 08:59:39,26-03-2024 08:59:40,0.322s,FAILED
,,,,,,,
Test Cases/Login_TC,Chrome 123.0.0.0,,,26-03-2024 08:59:40,26-03-2024 08:59:50,10.280s,FAILED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 08:59:40,26-03-2024 08:59:42,2.335s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 08:59:42,26-03-2024 08:59:45,2.468s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 08:59:45,26-03-2024 08:59:49,4.064s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 08:59:49,26-03-2024 08:59:49,0.492s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 08:59:49,26-03-2024 08:59:50,0.436s,PASSED
